This worksheet contains one table spanning A2 through K661 with row 2 as the header row. The table lists Start Strong Fall 2020 data by district. Note that rows 1 and 2 are frozen.,,,,,,,,,,
AGG Description,AGG Group Description,Assessment Year,District Code,District Name,District Name2,Test Code,Valid Scores,Percent Strong Support May Be Needed (Level 1),Precent Some Support May Be Needed (Level 2),Percent Less Support May Be Needed (Level 3)
District,Total,2020-2021,111460,FAIRFIELD TOWNSHIP SCHOOL DISTRICT,Fairfield Township School District,MAT05,55,75,20,5
District,Total,2020-2021,115300,UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT,Upper Deerfield Township School District,MAT05,79,52,24,24
District,Total,2020-2021,131210,EAST ORANGE SCHOOL DISTRICT,East Orange School District,MAT05,*,*,*,*
District,Total,2020-2021,132330,IRVINGTON PUBLIC SCHOOL DISTRICT,Irvington Public School District,MAT05,524,74,15,10
District,Total,2020-2021,133570,NEWARK PUBLIC SCHOOL DISTRICT,Newark Public School District,MAT05,25,76,16,8
District,Total,2020-2021,133880,ORANGE BOARD OF EDUCATION SCHOOL DISTRICT,Orange Board Of Education School District,MAT05,*,*,*,*
District,Total,2020-2021,170220,BAYONNE SCHOOL DISTRICT,Bayonne School District,MAT05,680,32,30,37
District,Total,2020-2021,172060,HARRISON PUBLIC SCHOOLS,Harrison Public Schools,MAT05,144,43,26,31
District,Total,2020-2021,173610,NORTH BERGEN SCHOOL DISTRICT,North Bergen School District,MAT05,28,11,54,36
District,Total,2020-2021,175670,WEST NEW YORK SCHOOL DISTRICT,West New York School District,MAT05,563,73,17,10
District,Total,2020-2021,190430,BLOOMSBURY BOROUGH SCHOOL DISTRICT,Bloomsbury Borough School District,MAT05,*,*,*,*
District,Total,2020-2021,192140,HIGH BRIDGE BOROUGH SCHOOL DISTRICT,High Bridge Borough School District,MAT05,28,43,21,36
District,Total,2020-2021,211430,EWING TOWNSHIP SCHOOL DISTRICT,Ewing Township School District,MAT05,*,*,*,*
District,Total,2020-2021,251490,FARMINGDALE PUBLIC SCHOOL DISTRICT,Farmingdale Public School District,MAT05,13,46,8,46
District,Total,2020-2021,273410,MOUNT ARLINGTON PUBLIC SCHOOL DISTRICT,Mount Arlington Public School District,MAT05,36,28,36,36
District,Total,2020-2021,312100,HAWTHORNE PUBLIC SCHOOL DISTRICT,Hawthorne Public School District,MAT05,159,40,25,35
District,Total,2020-2021,315650,WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,West Milford Township Public School District,MAT05,227,41,30,29
District,Total,2020-2021,332950,MANNINGTON TOWNSHIP SCHOOL DISTRICT,Mannington Township School District,MAT05,12,17,58,25
District,Total,2020-2021,371800,GREEN TOWNSHIP SCHOOL DISTRICT,Green Township School District,MAT05,39,38,26,36
District,Total,2020-2021,371930,HAMBURG SCHOOL DISTRICT,Hamburg School District,MAT05,23,52,35,13
District,Total,2020-2021,394540,ROSELLE PUBLIC SCHOOLS,Roselle Public Schools,MAT05,200,59,24,17
District,Total,2020-2021,395290,TOWNSHIP OF UNION SCHOOL DISTRICT,Township Of Union School District,MAT05,509,43,30,28
District,Total,2020-2021,806076,BENJAMIN BANNEKER PREPARATORY CHARTER SCHOOL,Benjamin Banneker Preparatory Charter School,MAT05,39,67,26,8
District,Total,2020-2021,806079,JOHN P HOLLAND CHARTER SCHOOL,John P Holland Charter School,MAT05,23,43,35,22
District,Total,2020-2021,806089,COMPASS ACADEMY CHARTER SCHOOL,Compass Academy Charter School,MAT05,33,67,33,0
District,Total,2020-2021,806099,LINK COMMUNITY CHARTER SCHOOL,Link Community Charter School,MAT05,*,*,*,*
District,Total,2020-2021,807109,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,Leap Academy University Charter School,MAT05,84,65,23,12
District,Total,2020-2021,807500,PACE CHARTER SCHOOL OF HAMILTON,Pace Charter School Of Hamilton,MAT05,45,27,36,38
District,Total,2020-2021,807890,TEANECK COMMUNITY CHARTER SCHOOL,Teaneck Community Charter School,MAT05,34,29,32,38
District,Total,2020-2021,808010,UNION COUNTY TEAMS CHARTER SCHOOL-HIGH SCHOOL/COLLEGE LA,Union County Teams Charter School-High School/College La,MAT05,23,52,22,26
District,Total,2020-2021,808140,THE VILLAGE CHARTER SCHOOL,The Village Charter School,MAT05,43,49,40,12
District,Total,2020-2021,015760,WEYMOUTH TOWNSHIP SCHOOL DISTRICT,Weymouth Township School District,MAT06,11,45,18,36
District,Total,2020-2021,031230,EAST RUTHERFORD SCHOOL DISTRICT,East Rutherford School District,MAT06,68,44,22,34
District,Total,2020-2021,032080,HASBROUCK HEIGHTS SCHOOL DISTRICT,Hasbrouck Heights School District,MAT06,134,31,25,44
District,Total,2020-2021,032900,MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,Mahwah Township Public School District,MAT06,203,16,27,57
District,Total,2020-2021,034370,RIDGEFIELD SCHOOL DISTRICT,Ridgefield School District,MAT06,94,29,27,45
District,Total,2020-2021,034870,SOUTH HACKENSACK SCHOOL DISTRICT,South Hackensack School District,MAT06,29,52,28,21
District,Total,2020-2021,035150,TEANECK SCHOOL DISTRICT,Teaneck School District,MAT06,195,45,27,28
District,Total,2020-2021,035410,WALDWICK SCHOOL DISTRICT,Waldwick School District,MAT06,122,25,27,48
District,Total,2020-2021,050620,BURLINGTON TOWNSHIP SCHOOL DISTRICT,Burlington Township School District,MAT06,*,*,*,*
District,Total,2020-2021,053440,MOUNT LAUREL TOWNSHIP SCHOOL DISTRICT,Mount Laurel Township School District,MAT06,472,40,24,36
District,Total,2020-2021,053650,NORTH HANOVER TOWNSHIP SCHOOL DISTRICT,North Hanover Township School District,MAT06,115,32,36,32
District,Total,2020-2021,054930,SOUTHAMPTON TOWNSHIP SCHOOL DISTRICT,Southampton Township School District,MAT06,81,48,22,30
District,Total,2020-2021,070940,COLLINGSWOOD PUBLIC SCHOOL DISTRICT,Collingswood Public School District,MAT06,146,47,23,30
District,Total,2020-2021,075900,WOODLYNNE SCHOOL DISTRICT,Woodlynne School District,MAT06,41,54,27,20
District,Total,2020-2021,095610,WEST CAPE MAY SCHOOL DISTRICT,West Cape May School District,MAT06,14,36,29,36
District,Total,2020-2021,111460,FAIRFIELD TOWNSHIP SCHOOL DISTRICT,Fairfield Township School District,MAT06,50,62,34,4
District,Total,2020-2021,115300,UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT,Upper Deerfield Township School District,MAT06,92,61,22,17
District,Total,2020-2021,131210,EAST ORANGE SCHOOL DISTRICT,East Orange School District,MAT06,13,54,8,38
District,Total,2020-2021,132330,IRVINGTON PUBLIC SCHOOL DISTRICT,Irvington Public School District,MAT06,564,73,16,10
District,Total,2020-2021,133310,MONTCLAIR PUBLIC SCHOOL DISTRICT,Montclair Public School District,MAT06,*,*,*,*
District,Total,2020-2021,133570,NEWARK PUBLIC SCHOOL DISTRICT,Newark Public School District,MAT06,26,42,27,31
District,Total,2020-2021,133880,ORANGE BOARD OF EDUCATION SCHOOL DISTRICT,Orange Board Of Education School District,MAT06,*,*,*,*
District,Total,2020-2021,170220,BAYONNE SCHOOL DISTRICT,Bayonne School District,MAT06,761,37,28,35
District,Total,2020-2021,172060,HARRISON PUBLIC SCHOOLS,Harrison Public Schools,MAT06,142,53,25,23
District,Total,2020-2021,175670,WEST NEW YORK SCHOOL DISTRICT,West New York School District,MAT06,558,57,27,16
District,Total,2020-2021,190430,BLOOMSBURY BOROUGH SCHOOL DISTRICT,Bloomsbury Borough School District,MAT06,*,*,*,*
District,Total,2020-2021,190920,CLINTON TOWNSHIP SCHOOL DISTRICT,Clinton Township School District,MAT06,138,20,25,55
District,Total,2020-2021,192140,HIGH BRIDGE BOROUGH SCHOOL DISTRICT,High Bridge Borough School District,MAT06,38,26,32,42
District,Total,2020-2021,218501,OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,Office Of Education Department Of Children And Families,MAT06,*,*,*,*
District,Total,2020-2021,251490,FARMINGDALE PUBLIC SCHOOL DISTRICT,Farmingdale Public School District,MAT06,14,14,14,71
District,Total,2020-2021,273410,MOUNT ARLINGTON PUBLIC SCHOOL DISTRICT,Mount Arlington Public School District,MAT06,31,55,29,16
District,Total,2020-2021,312100,HAWTHORNE PUBLIC SCHOOL DISTRICT,Hawthorne Public School District,MAT06,188,43,31,26
District,Total,2020-2021,315650,WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,West Milford Township Public School District,MAT06,239,43,31,26
District,Total,2020-2021,332950,MANNINGTON TOWNSHIP SCHOOL DISTRICT,Mannington Township School District,MAT06,20,30,25,45
District,Total,2020-2021,371800,GREEN TOWNSHIP SCHOOL DISTRICT,Green Township School District,MAT06,47,23,45,32
District,Total,2020-2021,371930,HAMBURG SCHOOL DISTRICT,Hamburg School District,MAT06,20,55,25,20
District,Total,2020-2021,375030,STANHOPE SCHOOL DISTRICT,Stanhope School District,MAT06,26,12,42,46
District,Total,2020-2021,392190,HILLSIDE PUBLIC SCHOOL DISTRICT,Hillside Public School District,MAT06,*,*,*,*
District,Total,2020-2021,394160,PLAINFIELD PUBLIC SCHOOL DISTRICT,Plainfield Public School District,MAT06,*,*,*,*
District,Total,2020-2021,394540,ROSELLE PUBLIC SCHOOLS,Roselle Public Schools,MAT06,251,66,22,12
District,Total,2020-2021,395290,TOWNSHIP OF UNION SCHOOL DISTRICT,Township Of Union School District,MAT06,541,47,28,25
District,Total,2020-2021,806076,BENJAMIN BANNEKER PREPARATORY CHARTER SCHOOL,Benjamin Banneker Preparatory Charter School,MAT06,39,62,26,13
District,Total,2020-2021,806079,JOHN P HOLLAND CHARTER SCHOOL,John P Holland Charter School,MAT06,23,43,30,26
District,Total,2020-2021,806099,LINK COMMUNITY CHARTER SCHOOL,Link Community Charter School,MAT06,*,*,*,*
District,Total,2020-2021,807109,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,Leap Academy University Charter School,MAT06,72,72,18,10
District,Total,2020-2021,807500,PACE CHARTER SCHOOL OF HAMILTON,Pace Charter School Of Hamilton,MAT06,44,34,43,23
District,Total,2020-2021,807890,TEANECK COMMUNITY CHARTER SCHOOL,Teaneck Community Charter School,MAT06,35,17,37,46
District,Total,2020-2021,808010,UNION COUNTY TEAMS CHARTER SCHOOL-HIGH SCHOOL/COLLEGE LA,Union County Teams Charter School-High School/College La,MAT06,45,56,29,16
District,Total,2020-2021,808140,THE VILLAGE CHARTER SCHOOL,The Village Charter School,MAT06,39,44,36,21
District,Total,2020-2021,015760,WEYMOUTH TOWNSHIP SCHOOL DISTRICT,Weymouth Township School District,MAT07,16,25,19,56
District,Total,2020-2021,031230,EAST RUTHERFORD SCHOOL DISTRICT,East Rutherford School District,MAT07,71,32,23,45
District,Total,2020-2021,032080,HASBROUCK HEIGHTS SCHOOL DISTRICT,Hasbrouck Heights School District,MAT07,144,40,25,35
District,Total,2020-2021,032900,MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,Mahwah Township Public School District,MAT07,233,22,27,51
District,Total,2020-2021,034370,RIDGEFIELD SCHOOL DISTRICT,Ridgefield School District,MAT07,127,16,28,57
District,Total,2020-2021,034470,ROCHELLE PARK SCHOOL DISTRICT,Rochelle Park School District,MAT07,16,0,6,94
District,Total,2020-2021,034870,SOUTH HACKENSACK SCHOOL DISTRICT,South Hackensack School District,MAT07,35,23,20,57
District,Total,2020-2021,035150,TEANECK SCHOOL DISTRICT,Teaneck School District,MAT07,169,33,35,32
District,Total,2020-2021,035410,WALDWICK SCHOOL DISTRICT,Waldwick School District,MAT07,121,23,26,51
District,Total,2020-2021,053440,MOUNT LAUREL TOWNSHIP SCHOOL DISTRICT,Mount Laurel Township School District,MAT07,406,33,34,32
District,Total,2020-2021,054930,SOUTHAMPTON TOWNSHIP SCHOOL DISTRICT,Southampton Township School District,MAT07,71,25,39,35
District,Total,2020-2021,075900,WOODLYNNE SCHOOL DISTRICT,Woodlynne School District,MAT07,42,55,24,21
District,Total,2020-2021,111460,FAIRFIELD TOWNSHIP SCHOOL DISTRICT,Fairfield Township School District,MAT07,47,60,34,6
District,Total,2020-2021,115300,UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT,Upper Deerfield Township School District,MAT07,85,44,27,29
District,Total,2020-2021,131210,EAST ORANGE SCHOOL DISTRICT,East Orange School District,MAT07,11,45,18,36
District,Total,2020-2021,132330,IRVINGTON PUBLIC SCHOOL DISTRICT,Irvington Public School District,MAT07,537,66,19,15
District,Total,2020-2021,133570,NEWARK PUBLIC SCHOOL DISTRICT,Newark Public School District,MAT07,32,41,31,28
District,Total,2020-2021,133880,ORANGE BOARD OF EDUCATION SCHOOL DISTRICT,Orange Board Of Education School District,MAT07,*,*,*,*
District,Total,2020-2021,170220,BAYONNE SCHOOL DISTRICT,Bayonne School District,MAT07,716,25,30,45
District,Total,2020-2021,172060,HARRISON PUBLIC SCHOOLS,Harrison Public Schools,MAT07,134,33,34,33
District,Total,2020-2021,175670,WEST NEW YORK SCHOOL DISTRICT,West New York School District,MAT07,518,52,28,20
District,Total,2020-2021,190430,BLOOMSBURY BOROUGH SCHOOL DISTRICT,Bloomsbury Borough School District,MAT07,*,*,*,*
District,Total,2020-2021,190920,CLINTON TOWNSHIP SCHOOL DISTRICT,Clinton Township School District,MAT07,151,20,27,53
District,Total,2020-2021,192140,HIGH BRIDGE BOROUGH SCHOOL DISTRICT,High Bridge Borough School District,MAT07,35,11,26,63
District,Total,2020-2021,251490,FARMINGDALE PUBLIC SCHOOL DISTRICT,Farmingdale Public School District,MAT07,12,17,33,50
District,Total,2020-2021,273410,MOUNT ARLINGTON PUBLIC SCHOOL DISTRICT,Mount Arlington Public School District,MAT07,49,35,27,39
District,Total,2020-2021,312100,HAWTHORNE PUBLIC SCHOOL DISTRICT,Hawthorne Public School District,MAT07,201,32,35,33
District,Total,2020-2021,315650,WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,West Milford Township Public School District,MAT07,214,27,38,35
District,Total,2020-2021,332950,MANNINGTON TOWNSHIP SCHOOL DISTRICT,Mannington Township School District,MAT07,14,14,21,64
District,Total,2020-2021,371800,GREEN TOWNSHIP SCHOOL DISTRICT,Green Township School District,MAT07,41,7,39,54
District,Total,2020-2021,371930,HAMBURG SCHOOL DISTRICT,Hamburg School District,MAT07,21,10,29,62
District,Total,2020-2021,375030,STANHOPE SCHOOL DISTRICT,Stanhope School District,MAT07,31,19,29,52
District,Total,2020-2021,391320,ELIZABETH PUBLIC SCHOOLS,Elizabeth Public Schools,MAT07,*,*,*,*
District,Total,2020-2021,392190,HILLSIDE PUBLIC SCHOOL DISTRICT,Hillside Public School District,MAT07,*,*,*,*
District,Total,2020-2021,394160,PLAINFIELD PUBLIC SCHOOL DISTRICT,Plainfield Public School District,MAT07,*,*,*,*
District,Total,2020-2021,394540,ROSELLE PUBLIC SCHOOLS,Roselle Public Schools,MAT07,266,54,28,18
District,Total,2020-2021,395290,TOWNSHIP OF UNION SCHOOL DISTRICT,Township Of Union School District,MAT07,559,31,32,37
District,Total,2020-2021,806076,BENJAMIN BANNEKER PREPARATORY CHARTER SCHOOL,Benjamin Banneker Preparatory Charter School,MAT07,41,39,34,27
District,Total,2020-2021,806079,JOHN P HOLLAND CHARTER SCHOOL,John P Holland Charter School,MAT07,22,18,41,41
District,Total,2020-2021,806099,LINK COMMUNITY CHARTER SCHOOL,Link Community Charter School,MAT07,*,*,*,*
District,Total,2020-2021,807109,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,Leap Academy University Charter School,MAT07,81,44,35,21
District,Total,2020-2021,807500,PACE CHARTER SCHOOL OF HAMILTON,Pace Charter School Of Hamilton,MAT07,43,19,30,51
District,Total,2020-2021,807890,TEANECK COMMUNITY CHARTER SCHOOL,Teaneck Community Charter School,MAT07,17,35,35,29
District,Total,2020-2021,808010,UNION COUNTY TEAMS CHARTER SCHOOL-HIGH SCHOOL/COLLEGE LA,Union County Teams Charter School-High School/College La,MAT07,31,74,13,13
District,Total,2020-2021,808140,THE VILLAGE CHARTER SCHOOL,The Village Charter School,MAT07,41,34,32,34
District,Total,2020-2021,015760,WEYMOUTH TOWNSHIP SCHOOL DISTRICT,Weymouth Township School District,MAT08,12,0,50,50
District,Total,2020-2021,031230,EAST RUTHERFORD SCHOOL DISTRICT,East Rutherford School District,MAT08,88,15,25,60
District,Total,2020-2021,032080,HASBROUCK HEIGHTS SCHOOL DISTRICT,Hasbrouck Heights School District,MAT08,88,52,28,19
District,Total,2020-2021,032900,MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,Mahwah Township Public School District,MAT08,126,24,46,30
District,Total,2020-2021,034370,RIDGEFIELD SCHOOL DISTRICT,Ridgefield School District,MAT08,128,12,32,56
District,Total,2020-2021,034870,SOUTH HACKENSACK SCHOOL DISTRICT,South Hackensack School District,MAT08,27,30,48,22
District,Total,2020-2021,035150,TEANECK SCHOOL DISTRICT,Teaneck School District,MAT08,209,33,34,33
District,Total,2020-2021,035410,WALDWICK SCHOOL DISTRICT,Waldwick School District,MAT08,116,28,19,53
District,Total,2020-2021,053440,MOUNT LAUREL TOWNSHIP SCHOOL DISTRICT,Mount Laurel Township School District,MAT08,247,44,43,13
District,Total,2020-2021,054930,SOUTHAMPTON TOWNSHIP SCHOOL DISTRICT,Southampton Township School District,MAT08,61,39,36,25
District,Total,2020-2021,075900,WOODLYNNE SCHOOL DISTRICT,Woodlynne School District,MAT08,39,54,38,8
District,Total,2020-2021,111460,FAIRFIELD TOWNSHIP SCHOOL DISTRICT,Fairfield Township School District,MAT08,62,56,27,16
District,Total,2020-2021,115300,UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT,Upper Deerfield Township School District,MAT08,73,33,33,34
District,Total,2020-2021,131210,EAST ORANGE SCHOOL DISTRICT,East Orange School District,MAT08,13,31,62,8
District,Total,2020-2021,132330,IRVINGTON PUBLIC SCHOOL DISTRICT,Irvington Public School District,MAT08,440,71,23,6
District,Total,2020-2021,133570,NEWARK PUBLIC SCHOOL DISTRICT,Newark Public School District,MAT08,24,50,33,17
District,Total,2020-2021,133880,ORANGE BOARD OF EDUCATION SCHOOL DISTRICT,Orange Board Of Education School District,MAT08,*,*,*,*
District,Total,2020-2021,170220,BAYONNE SCHOOL DISTRICT,Bayonne School District,MAT08,629,26,38,36
District,Total,2020-2021,172060,HARRISON PUBLIC SCHOOLS,Harrison Public Schools,MAT08,114,23,43,34
District,Total,2020-2021,175670,WEST NEW YORK SCHOOL DISTRICT,West New York School District,MAT08,497,45,36,19
District,Total,2020-2021,190430,BLOOMSBURY BOROUGH SCHOOL DISTRICT,Bloomsbury Borough School District,MAT08,*,*,*,*
District,Total,2020-2021,190920,CLINTON TOWNSHIP SCHOOL DISTRICT,Clinton Township School District,MAT08,169,15,25,59
District,Total,2020-2021,192140,HIGH BRIDGE BOROUGH SCHOOL DISTRICT,High Bridge Borough School District,MAT08,40,15,35,50
District,Total,2020-2021,231290,EDISON TOWNSHIP SCHOOL DISTRICT,Edison Township School District,MAT08,*,*,*,*
District,Total,2020-2021,251490,FARMINGDALE PUBLIC SCHOOL DISTRICT,Farmingdale Public School District,MAT08,13,8,15,77
District,Total,2020-2021,273410,MOUNT ARLINGTON PUBLIC SCHOOL DISTRICT,Mount Arlington Public School District,MAT08,23,57,30,13
District,Total,2020-2021,312100,HAWTHORNE PUBLIC SCHOOL DISTRICT,Hawthorne Public School District,MAT08,132,33,41,27
District,Total,2020-2021,315650,WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,West Milford Township Public School District,MAT08,162,41,40,19
District,Total,2020-2021,332950,MANNINGTON TOWNSHIP SCHOOL DISTRICT,Mannington Township School District,MAT08,21,14,33,52
District,Total,2020-2021,371800,GREEN TOWNSHIP SCHOOL DISTRICT,Green Township School District,MAT08,52,8,25,67
District,Total,2020-2021,371930,HAMBURG SCHOOL DISTRICT,Hamburg School District,MAT08,16,19,44,38
District,Total,2020-2021,375030,STANHOPE SCHOOL DISTRICT,Stanhope School District,MAT08,26,4,23,73
District,Total,2020-2021,392190,HILLSIDE PUBLIC SCHOOL DISTRICT,Hillside Public School District,MAT08,*,*,*,*
District,Total,2020-2021,394290,RAHWAY PUBLIC SCHOOL DISTRICT,Rahway Public School District,MAT08,*,*,*,*
District,Total,2020-2021,394540,ROSELLE PUBLIC SCHOOLS,Roselle Public Schools,MAT08,183,65,26,9
District,Total,2020-2021,395290,TOWNSHIP OF UNION SCHOOL DISTRICT,Township Of Union School District,MAT08,422,44,39,17
District,Total,2020-2021,806076,BENJAMIN BANNEKER PREPARATORY CHARTER SCHOOL,Benjamin Banneker Preparatory Charter School,MAT08,37,32,35,32
District,Total,2020-2021,806079,JOHN P HOLLAND CHARTER SCHOOL,John P Holland Charter School,MAT08,17,47,35,18
District,Total,2020-2021,806099,LINK COMMUNITY CHARTER SCHOOL,Link Community Charter School,MAT08,*,*,*,*
District,Total,2020-2021,807109,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,Leap Academy University Charter School,MAT08,97,46,38,15
District,Total,2020-2021,807500,PACE CHARTER SCHOOL OF HAMILTON,Pace Charter School Of Hamilton,MAT08,40,13,43,45
District,Total,2020-2021,807890,TEANECK COMMUNITY CHARTER SCHOOL,Teaneck Community Charter School,MAT08,*,*,*,*
District,Total,2020-2021,808010,UNION COUNTY TEAMS CHARTER SCHOOL-HIGH SCHOOL/COLLEGE LA,Union County Teams Charter School-High School/College La,MAT08,39,41,46,13
District,Total,2020-2021,808140,THE VILLAGE CHARTER SCHOOL,The Village Charter School,MAT08,39,36,33,31
District,Total,2020-2021,011940,HAMILTON TOWNSHIP SCHOOL DISTRICT,Hamilton Township School District,SC05,532,53,27,19
District,Total,2020-2021,015760,WEYMOUTH TOWNSHIP SCHOOL DISTRICT,Weymouth Township School District,SC05,12,33,50,17
District,Total,2020-2021,031230,EAST RUTHERFORD SCHOOL DISTRICT,East Rutherford School District,SC05,67,57,28,15
District,Total,2020-2021,032900,MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,Mahwah Township Public School District,SC05,204,31,36,33
District,Total,2020-2021,035150,TEANECK SCHOOL DISTRICT,Teaneck School District,SC05,205,46,33,20
District,Total,2020-2021,095610,WEST CAPE MAY SCHOOL DISTRICT,West Cape May School District,SC05,13,46,31,23
District,Total,2020-2021,111460,FAIRFIELD TOWNSHIP SCHOOL DISTRICT,Fairfield Township School District,SC05,48,85,13,2
District,Total,2020-2021,115300,UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT,Upper Deerfield Township School District,SC05,92,63,22,15
District,Total,2020-2021,115390,VINELAND PUBLIC SCHOOL DISTRICT,Vineland Public School District,SC05,*,*,*,*
District,Total,2020-2021,131210,EAST ORANGE SCHOOL DISTRICT,East Orange School District,SC05,13,38,38,23
District,Total,2020-2021,132330,IRVINGTON PUBLIC SCHOOL DISTRICT,Irvington Public School District,SC05,563,83,13,5
District,Total,2020-2021,133310,MONTCLAIR PUBLIC SCHOOL DISTRICT,Montclair Public School District,SC05,*,*,*,*
District,Total,2020-2021,133570,NEWARK PUBLIC SCHOOL DISTRICT,Newark Public School District,SC05,24,42,29,29
District,Total,2020-2021,133880,ORANGE BOARD OF EDUCATION SCHOOL DISTRICT,Orange Board Of Education School District,SC05,*,*,*,*
District,Total,2020-2021,170220,BAYONNE SCHOOL DISTRICT,Bayonne School District,SC05,758,50,27,22
District,Total,2020-2021,175240,UNION CITY SCHOOL DISTRICT,Union City School District,SC05,28,86,14,0
District,Total,2020-2021,175670,WEST NEW YORK SCHOOL DISTRICT,West New York School District,SC05,559,74,18,8
District,Total,2020-2021,190430,BLOOMSBURY BOROUGH SCHOOL DISTRICT,Bloomsbury Borough School District,SC05,*,*,*,*
District,Total,2020-2021,190920,CLINTON TOWNSHIP SCHOOL DISTRICT,Clinton Township School District,SC05,138,22,42,36
District,Total,2020-2021,192140,HIGH BRIDGE BOROUGH SCHOOL DISTRICT,High Bridge Borough School District,SC05,37,35,41,24
District,Total,2020-2021,218501,OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,Office Of Education Department Of Children And Families,SC05,*,*,*,*
District,Total,2020-2021,251490,FARMINGDALE PUBLIC SCHOOL DISTRICT,Farmingdale Public School District,SC05,15,27,47,27
District,Total,2020-2021,273090,MENDHAM BOROUGH SCHOOL DISTRICT,Mendham Borough School District,SC05,64,31,34,34
District,Total,2020-2021,273340,MONTVILLE TOWNSHIP SCHOOL DISTRICT,Montville Township School District,SC05,241,29,36,35
District,Total,2020-2021,273410,MOUNT ARLINGTON PUBLIC SCHOOL DISTRICT,Mount Arlington Public School District,SC05,30,43,47,10
District,Total,2020-2021,312100,HAWTHORNE PUBLIC SCHOOL DISTRICT,Hawthorne Public School District,SC05,187,44,32,24
District,Total,2020-2021,315650,WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,West Milford Township Public School District,SC05,239,42,36,22
District,Total,2020-2021,332950,MANNINGTON TOWNSHIP SCHOOL DISTRICT,Mannington Township School District,SC05,20,40,30,30
District,Total,2020-2021,371800,GREEN TOWNSHIP SCHOOL DISTRICT,Green Township School District,SC05,45,31,38,31
District,Total,2020-2021,371930,HAMBURG SCHOOL DISTRICT,Hamburg School District,SC05,20,45,30,25
District,Total,2020-2021,392190,HILLSIDE PUBLIC SCHOOL DISTRICT,Hillside Public School District,SC05,*,*,*,*
District,Total,2020-2021,394160,PLAINFIELD PUBLIC SCHOOL DISTRICT,Plainfield Public School District,SC05,629,77,17,6
District,Total,2020-2021,394540,ROSELLE PUBLIC SCHOOLS,Roselle Public Schools,SC05,251,72,23,5
District,Total,2020-2021,395290,TOWNSHIP OF UNION SCHOOL DISTRICT,Township Of Union School District,SC05,535,45,30,25
District,Total,2020-2021,806076,BENJAMIN BANNEKER PREPARATORY CHARTER SCHOOL,Benjamin Banneker Preparatory Charter School,SC05,39,59,26,15
District,Total,2020-2021,806079,JOHN P HOLLAND CHARTER SCHOOL,John P Holland Charter School,SC05,24,75,17,8
District,Total,2020-2021,806099,LINK COMMUNITY CHARTER SCHOOL,Link Community Charter School,SC05,*,*,*,*
District,Total,2020-2021,808010,UNION COUNTY TEAMS CHARTER SCHOOL-HIGH SCHOOL/COLLEGE LA,Union County Teams Charter School-High School/College La,SC05,43,56,28,16
District,Total,2020-2021,808140,THE VILLAGE CHARTER SCHOOL,The Village Charter School,SC05,39,49,38,13
District,Total,2020-2021,011940,HAMILTON TOWNSHIP SCHOOL DISTRICT,Hamilton Township School District,SC08,274,62,30,8
District,Total,2020-2021,032900,MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,Mahwah Township Public School District,SC08,230,31,44,25
District,Total,2020-2021,035150,TEANECK SCHOOL DISTRICT,Teaneck School District,SC08,230,51,43,6
District,Total,2020-2021,092820,LOWER CAPE MAY REGIONAL SCHOOL DISTRICT,Lower Cape May Regional School District,SC08,142,37,48,15
District,Total,2020-2021,131390,ESSEX COUNTY SCHOOLS OF TECHNOLOGY,Essex County Schools Of Technology,SC08,511,53,38,9
District,Total,2020-2021,132330,IRVINGTON PUBLIC SCHOOL DISTRICT,Irvington Public School District,SC08,219,72,27,1
District,Total,2020-2021,173610,NORTH BERGEN SCHOOL DISTRICT,North Bergen School District,SC08,47,74,23,2
District,Total,2020-2021,175670,WEST NEW YORK SCHOOL DISTRICT,West New York School District,SC08,512,76,21,4
District,Total,2020-2021,233150,MIDDLESEX COUNTY VOCATIONAL AND TECHNICAL SCHOOL DISTRICT,Middlesex County Vocational And Technical School District,SC08,270,59,36,6
District,Total,2020-2021,273340,MONTVILLE TOWNSHIP SCHOOL DISTRICT,Montville Township School District,SC08,251,20,56,24
